routeNameE,routeId,first_stopNameE,first_coordinates,last_stopNameE,last_coordinates,fullFare,journeyTime,first_stopDistrict,last_stopDistrict,routeDistance
806a,2001821,Wong Nai Tau Bus Terminus,"(22.382157, 114.217968)",Wong Nai Tau Bus Terminus,"(22.382157, 114.217968)",12.8,28,Sha Tin,Sha Tin,33493
806b,2001823,"On Ming Street, opposite Shek Mun Station","(22.38737, 114.208735)","On Ming Street, opposite Shek Mun Station","(22.38737, 114.208735)",12.8,35,Sha Tin,Sha Tin,38872
806c,2001825,11 Science Park West Avenue,"(22.425939, 114.210201)",11 Science Park West Avenue,"(22.425939, 114.210201)",9.5,15,Sha Tin,Sha Tin,16424
29,2001855,"Science Park Road, near Ma Liu Shui Ferry Pier","(22.416149, 114.213909)",Wan Tau Tong Terminus,"(22.442305, 114.166587)",8.3,13,Sha Tin,Tai Po,14147
404m,2001887,"Hing Ning Road, outside Metroplaza (Kwai Fong Station) ","(22.357005, 114.127264)","Hing Ning Road, outside Metroplaza (Kwai Fong Station) ","(22.357005, 114.127264)",5.9,21,Kwai Tsing,Kwai Tsing,7674
404m,2001888,"Hing Ning Road, outside Metroplaza (Kwai Fong Station) ","(22.357005, 114.127264)","Hing Ning Road, outside Metroplaza (Kwai Fong Station) ","(22.357005, 114.127264)",5.9,15,Kwai Tsing,Kwai Tsing,3582
301m,2001889,Tsuen Wan West Station Public Transport Interchange,"(22.368801, 114.109627)",Tsuen Wan West Station Public Transport Interchange,"(22.368801, 114.109627)",4.6,19,Tsuen Wan,Tsuen Wan,6728
302,2001890,Hong Kong Garden,"(22.362187, 114.044085)",Hong Kong Garden,"(22.362187, 114.044085)",10.1,68,Tsuen Wan,Tsuen Wan,25837
302,2001891,Bellagio,"(22.3677, 114.061703)",Bellagio,"(22.367546, 114.061402)",7.1,51,Tsuen Wan,Tsuen Wan,16091
502,2001920,Tai Po Nethersole Hospital,"(22.45987, 114.17429)",Ching Ho Estate Public Transport Interchange,"(22.494602, 114.127798)",13.7,27,Tai Po,North District,54352
502,2001955,"Wah Ming Road, outside Yan Fai House, Yan Shing Court","(22.486017, 114.139083)",Tai Po Nethersole Hospital,"(22.45987, 114.17429)",13.7,17,North District,Tai Po,24980
502,2001986,Ching Ho Estate Public Transport Interchange,"(22.494602, 114.127798)",Tai Po Nethersole Hospital,"(22.45987, 114.17429)",13.7,20,North District,Tai Po,35107
502,2001987,Tai Po Nethersole Hospital,"(22.45987, 114.17429)","Wah Ming Road, outside Cheong Tao House","(22.484076, 114.139297)",13.7,18,Tai Po,North District,12878
502,2002019,"Tai Po Tai Wo Road, opposite Tai Po Centre","(22.450939, 114.169753)",Ching Ho Estate Public Transport Interchange,"(22.494602, 114.127798)",13.7,24,Tai Po,North District,16215
25,2002020,Upper Braemar Hill Bus Terminus,"(22.283132, 114.198775)",Upper Braemar Hill Bus Terminus,"(22.283132, 114.198775)",5.6,16,Eastern,Eastern,6599
24a,2002021,"Drake Street, near MTR exit","(22.279132, 114.164813)","Drake Street, near MTR exit","(22.279132, 114.164813)",5.7,18,Central and Western,Central and Western,5317
24m,2002052,"No.111 Mount Bulter Road, opposite Block M","(22.271663, 114.196707)","No.111 Mount Bulter Road, opposite Block M","(22.271663, 114.196707)",7.8,26,Wan Chai,Wan Chai,12500
24m,2002053,"No.111 Mount Bulter Road, opposite Block M","(22.271663, 114.196707)","No.111 Mount Bulter Road, opposite Block M","(22.271663, 114.196707)",7.8,21,Wan Chai,Wan Chai,11116
18m,2002085,Wong Tai Sin Public Light Bus (Scheduled) Service Terminus,"(22.342969, 114.195183)",Wong Tai Sin Public Light Bus (Scheduled) Service Terminus,"(22.342969, 114.195183)",4.3,6,Wong Tai Sin,Wong Tai Sin,2195
19,2002087,"Yi Lun Street, outside Pak Lok House","(22.335148, 114.196415)","Yi Lun Street, outside Pak Lok House","(22.335148, 114.196415)",5.8,15,Wong Tai Sin,Wong Tai Sin,10452
19a,2002091,"Hammer Hill Road, outside Grand View Garden Commercial And Car Park Block","(22.340953, 114.207443)","Hammer Hill Road, outside Grand View Garden Commercial And Car Park Block","(22.340953, 114.207443)",4.0,8,Wong Tai Sin,Wong Tai Sin,3289
19m,2002092,Diamond Hill Station Public Transport Interchange,"(22.34053, 114.202259)",Diamond Hill Station Public Transport Interchange,"(22.34053, 114.202259)",4.6,14,Wong Tai Sin,Wong Tai Sin,5024
19s,2002118,Diamond Hill Station Public Transport Interchange,"(22.34053, 114.202259)",Diamond Hill Station Public Transport Interchange,"(22.34053, 114.202259)",4.6,8,Wong Tai Sin,Wong Tai Sin,3418
19,2002151,Fu Shan Public Transport Interchange,"(22.343969, 114.208007)",Diamond Hill Station Public Transport Interchange,"(22.34053, 114.202259)",5.8,4,Wong Tai Sin,Wong Tai Sin,802
44m,2002217,Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",Chai Wan Station Public Transport Interchange,"(22.26497, 114.237047)",4.5,10,Eastern,Eastern,4135
43m,2002250,"Fung Ha Road, outside Hiu Fung House","(22.260593, 114.231351)","Fung Ha Road, outside Hiu Fung House","(22.260593, 114.231351)",3.2,6,Eastern,Eastern,2237
9,2002283,Central (Exchange Square),"(22.283719, 114.158467)",Central (Exchange Square),"(22.283719, 114.158467)",8.1,13,Central and Western,Central and Western,5689
12,2002285,Kwun Lung Lau,"(22.279776, 114.12862)",Kwun Lung Lau,"(22.279776, 114.12862)",5.7,26,Central and Western,Central and Western,6390
13,2002286,"Ka Wai Man Road, near Sai Wan Estate","(22.281147, 114.125321)","Ka Wai Man Road, near Sai Wan Estate","(22.281147, 114.125321)",4.6,14,Central and Western,Central and Western,4525
16a,2002287,Chai Wan Station Bus Terminus,"(22.265241, 114.237232)","Chung Hom Kok Road, Cheshire Home","(22.211817, 114.197445)",14.5,25,Eastern,Southern District,23027
16m,2002289,Chai Wan Station Bus Terminus,"(22.265241, 114.237232)","Chung Hom Kok Road, outside Scape","(22.216141, 114.205127)",14.5,22,Eastern,Southern District,21046
16x,2002291,Chai Wan Station Bus Terminus,"(22.265241, 114.237232)","Stanley Beach Road, outside Tai Tam Village","(22.219698, 114.213227)",11.0,16,Eastern,Southern District,15925
18m,2002317,Chai Wan Station Bus Terminus,"(22.264889, 114.237144)",Cape Collinson Correctional Institution,"(22.251246, 114.253563)",8.7,8,Eastern,Southern District,5603
20,2002319,Sai Wan Ho (Grand Promenade) Public Transport Terminus,"(22.284887, 114.224412)",Sai Wan Ho (Grand Promenade) Public Transport Terminus,"(22.284887, 114.224412)",7.2,27,Eastern,Eastern,10146
20,2002320,Sai Wan Ho (Grand Promenade) Public Transport Terminus,"(22.284887, 114.224412)",Sai Wan Ho (Grand Promenade) Public Transport Terminus,"(22.284887, 114.224412)",7.2,27,Eastern,Eastern,9431
33,2002321,"Tai Fung Street, near Tsui Wah House","(22.445923, 114.030036)","Tai Fung Street, near Tsui Wah House","(22.445923, 114.030036)",12.7,24,Yuen Long,Yuen Long,24845
35,2002325,"Tai fung Street, Near Tung Sing Building","(22.446158, 114.030434)","Tai Fung Street, near Tsui Wah House","(22.446158, 114.030434)",10.2,22,Yuen Long,Yuen Long,21885
35,2002327,"Tai fung Street, Near Tung Sing Building","(22.446158, 114.030434)","Tai fung Street, Near Tung Sing Building","(22.446158, 114.030434)",5.9,17,Yuen Long,Yuen Long,14398
12,2002329,"Pak Wan Street, Pak Tin Estate Bus Terminus","(22.337064, 114.16709)",Mongkok East Station,"(22.322073, 114.172196)",6.2,9,Sham Shui Po,Yau Tsim Mong,5981
12a,2002331,Mongkok East Station,"(22.322073, 114.172196)","Chung Wui Street, outside Chung Wo Building","(22.322461, 114.16149)",5.7,5,Yau Tsim Mong,Yau Tsim Mong,2200
12b,2002333,Mongkok East Station,"(22.322073, 114.172196)",Metro Harbourview,"(22.324167, 114.160568)",5.7,6,Yau Tsim Mong,Yau Tsim Mong,2397
12b,2002335,Metro Harbourview,"(22.324167, 114.160568)",152 Sai Yeung Choi Street South,"(22.320258, 114.169857)",5.0,6,Yau Tsim Mong,Yau Tsim Mong,2500
12s,2002336,Tai Kok Tsui (Cherry Street) GMB Terminus,"(22.317738, 114.162073)",Tai Kok Tsui (Cherry Street) GMB Terminus,"(22.317738, 114.162073)",6.2,25,Yau Tsim Mong,Yau Tsim Mong,6512
1,2002337,"Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)","Telford Plaza Phase IL, Ground Floor","(22.321744, 114.213253)",10.3,27,Sai Kung,Kwun Tong,24236
7,2002339,"Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)","Hoi Ha Road, Entrance Of Hai Ha Village","(22.45998, 114.327983)",13.7,26,Sai Kung,Sai Kung,11215
2,2002342,"Yi Chun Street, opposite Sai Kung Market","(22.380283, 114.271976)","Ho Chung Road, outside Ho Chung","(22.355101, 114.246921)",5.5,9,Sai Kung,Sai Kung,6754
2,2002344,Pak Kong,"(22.379071, 114.259051)","Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)",6.9,5,Sai Kung,Sai Kung,7400
2,2002349,"Yi Chun Street, opposite Sai Kung Market","(22.380283, 114.271976)","Yi Chun Street, opposite Sai Kung Market","(22.380283, 114.271976)",6.9,22,Sai Kung,Sai Kung,9130
109m,2002350,"Pung Loi Road, near Oscar by the Sea Block 5","(22.307319, 114.267249)","Ming Shing Street, opposite East Point City","(22.316125, 114.264643)",4.1,4,Sai Kung,Sai Kung,3113
1s,2002352,"Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)",Diamond Hill (Choi Hung Road) Public Transport Interchange,"(22.3382, 114.203647)",12.1,21,Sai Kung,Wong Tai Sin,23231
1a,2002355,"Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)",Diamond Hill (Choi Hung Road) Public Transport Interchange,"(22.3382, 114.203647)",10.3,21,Sai Kung,Wong Tai Sin,23233
1a,2002357,"Hiram's Highway, outside Hebe Haven Yacht Club","(22.364821, 114.259431)",Diamond Hill (Choi Hung Road) Public Transport Interchange,"(22.3382, 114.203647)",10.3,16,Sai Kung,Wong Tai Sin,9521
1a,2002358,"Fui Yiu Lane, Lakeside Garden","(22.379888, 114.26883)",Diamond Hill (Choi Hung Road) Public Transport Interchange,"(22.3382, 114.203647)",10.3,19,Sai Kung,Wong Tai Sin,10644
1a,2002359,Sai Kung North Public Transport Interchange,"(22.384094, 114.271677)",Diamond Hill (Choi Hung Road) Public Transport Interchange,"(22.3382, 114.203647)",10.3,19,Sai Kung,Wong Tai Sin,10644
34a,2002382,Ha Tsuen (San Sik Road) Minibus Terminus,"(22.450921, 113.990228)",Lau Fau Shan Minibus Terminus,"(22.46762, 113.983997)",7.4,13,Yuen Long,Yuen Long,10480
20m,2002415,"Hing Man Estate, outside Man Fu House","(22.267699, 114.232644)","Hing Man Estate, outside Man Fu House","(22.267699, 114.232644)",5.1,16,Eastern,Eastern,6884
20m,2002448,"Hing Man Estate, outside Man Fu House","(22.267699, 114.232644)","Hing Man Estate, outside Man Fu House","(22.267699, 114.232644)",5.1,14,Eastern,Eastern,6184
9,2002547,Lady MacLehose Holiday Village,"(22.407781, 114.32141)","Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)",7.9,17,Sai Kung,Sai Kung,5512
9,2002548,Tai Mong Tsai,"(22.387983, 114.302793)","Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(22.38161, 114.273424)",4.9,10,Sai Kung,Sai Kung,10600
9a,2002549,Pak Tam Chung Bus Terminus,"(22.397235, 114.319359)","The East Dam, High Island Reservoir","(22.361935, 114.37145)",11.9,18,Sai Kung,Sai Kung,12574
58,2002580,"Wu Nam Street, outside On Tai Building","(22.247759, 114.155581)",Kennedy Town Station,"(22.281356, 114.12893)",7.5,23,Southern District,Central and Western,19388
58a,2002582,"Wu Nam Street, outside On Tai Building","(22.247759, 114.155581)",Kennedy Town Station,"(22.281356, 114.12893)",7.5,23,Southern District,Central and Western,19806
58m,2002614,"Bel-Air on The Peak, Cyberport Road","(22.254825, 114.133771)",Kennedy Town Station,"(22.281356, 114.12893)",7.5,11,Southern District,Central and Western,8913
58,2002646,"Sha Wan Drive, opposite Maclehose Medical Rehabilitation Centre","(22.269804, 114.123743)",Kennedy Town Station,"(22.281356, 114.12893)",6.4,7,Southern District,Central and Western,3415
58,2002679,"Sandy Bay Road, The Duchess of Kent Children’s Hospital","(22.271656, 114.12482)","Wu Nam Street, outside On Tai Building","(22.247759, 114.155581)",7.5,12,Southern District,Southern District,10155
59,2002712,Kennedy Town Station,"(22.281356, 114.12893)",Kennedy Town Station,"(22.281356, 114.12893)",8.5,24,Central and Western,Central and Western,22237
59b,2002714,"Tung Sing Road, opposite No. 10","(22.248048, 114.155251)","Tung Sing Road, opposite No. 10","(22.248048, 114.155251)",4.5,14,Southern District,Southern District,5551
59x,2002745,Kennedy Town Station,"(22.281356, 114.12893)",Grantham Hospital,"(22.251345, 114.173033)",10.1,13,Central and Western,Southern District,2099
59a,2002746,"Tung Sing Road, opposite No. 10","(22.248048, 114.155251)","Tung Sing Road, opposite No. 10","(22.248048, 114.155251)",4.5,7,Southern District,Southern District,6244
59a,2002748,"Tung Sing Road, opposite No. 10","(22.248048, 114.155251)","Tung Sing Road, opposite No. 10","(22.248048, 114.155251)",4.5,6,Southern District,Southern District,5968
51s,2002811,Wah Kwai Estate Bus Terminus,"(22.249761, 114.139748)",Wah Kwai Estate Bus Terminus,"(22.249761, 114.139748)",4.1,9,Southern District,Southern District,3130
51a,2002812,Wah Kwai Estate Bus Terminus,"(22.249761, 114.139748)",Wah Kwai Estate Bus Terminus,"(22.249761, 114.139748)",3.6,7,Southern District,Southern District,2403
51,2002813,"Tin Wan Estate Road, outside Tin Chak House","(22.252635, 114.150865)","Tin Wan Estate Road, outside Tin Chak House","(22.252635, 114.150865)",3.6,10,Southern District,Southern District,3616
n51s,2002814,Wah Kwai Estate Bus Terminus,"(22.249761, 114.139748)",Wah Kwai Estate Bus Terminus,"(22.249761, 114.139748)",5.2,12,Southern District,Southern District,4407
26,2002815,"Chi Kiang Street, near I-Feng Mansions Block B","(22.315191, 114.189074)",Kowloon Station,"(22.305014, 114.162919)",7.5,23,Kowloon City,Yau Tsim Mong,15844
26w,2002844,Laguna Verde Bus Terminus,"(22.307551, 114.19217)",Laguna Verde Bus Terminus,"(22.307551, 114.19217)",6.0,13,Kowloon City,Kowloon City,6837
26w,2002845,Laguna Verde Bus Terminus,"(22.307551, 114.19217)",Laguna Verde Bus Terminus,"(22.307551, 114.19217)",6.0,13,Kowloon City,Kowloon City,7010
26a,2002846,Whampoa Garden Public Transport Interchange,"(22.305158, 114.190888)",Whampoa Garden Public Transport Interchange,"(22.305158, 114.190888)",7.9,21,Kowloon City,Kowloon City,8743
26h,2002849,"Nightingale Road, near Queen Elizabeth Hospital M Block","(22.308934, 114.173953)","Nightingale Road, near Queen Elizabeth Hospital M Block","(22.308934, 114.173953)",6.0,9,Yau Tsim Mong,Yau Tsim Mong,4386
26x,2002850,Laguna Verde Bus Terminus,"(22.307551, 114.19217)",Laguna Verde Bus Terminus,"(22.307551, 114.19217)",7.5,17,Kowloon City,Kowloon City,8923
107,2002910,"Haven Of Hope Road, outside Haven Of Hope Hospital","(22.314179, 114.25647)","Haven Of Hope Road, outside Haven Of Hope Hospital","(22.314179, 114.25647)",8.7,15,Sai Kung,Sai Kung,4961
115,2002943,Po Lam Public Transport Interchange,"(22.323398, 114.257931)",Tseung Kwan O Industrial Estate (Chun Cheong Street) Terminus,"(22.287222, 114.274543)",9.5,13,Sai Kung,Sai Kung,11849
106,2002945,Po Lam Public Transport Interchange,"(22.323398, 114.257931)",Kowloon Bay Public Transport Interchange,"(22.322052, 114.207905)",11.4,27,Sai Kung,Kwun Tong,18710
106,2003010,Kowloon Bay Public Transport Interchange,"(22.322052, 114.207905)",Po Lam Public Transport Interchange,"(22.323398, 114.257931)",11.4,18,Kwun Tong,Sai Kung,10482
23,2003042,Kennedy Town Station,"(22.281356, 114.12893)",Kennedy Town Station,"(22.281356, 114.12893)",7.1,36,Central and Western,Central and Western,11997
23m,2003043,Kennedy Town Station,"(22.281356, 114.12893)",Kennedy Town Station,"(22.281356, 114.12893)",7.1,13,Central and Western,Central and Western,8903
22,2003045,"Chi Fu Road, outside block no. 14","(22.25833, 114.13699)",Central (Exchange Square),"(22.283719, 114.158467)",9.2,21,Southern District,Central and Western,18166
22x,2003048,"Claymore Avenue, Pok Fu Lam Garden","(22.25833, 114.13699)","Chi Fu Road, outside block no. 14","(22.25833, 114.13699)",9.2,17,Southern District,Southern District,15890
22s,2003050,"Chi Fu Road, outside block no. 14","(22.25833, 114.13699)",Central (Central Ferry Piers),"(22.286717, 114.160135)",9.2,21,Southern District,Central and Western,8939
22s,2003051,Central (Central Ferry Piers),"(22.286717, 114.160135)","Chi Fu Road, outside block no. 14","(22.25833, 114.13699)",9.2,21,Central and Western,Southern District,10060
22x,2003075,"Chi Fu Road, outside block no. 14","(22.25833, 114.13699)",Central (Central Ferry Piers),"(22.286717, 114.160135)",9.2,17,Southern District,Central and Western,7786
27m,2003108,"Tin Kwong Road, Hillville Terrace","(22.318045, 114.187027)","Fife Street, outside Yau Shing Building","(22.320484, 114.170226)",8.8,11,Kowloon City,Yau Tsim Mong,1360
54,2003174,"Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326174, 114.226377)","Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326527, 114.226882)",9.4,27,Kwun Tong,Kwun Tong,12515
54m,2003177,"Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326527, 114.226882)","Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326527, 114.226882)",5.0,16,Kwun Tong,Kwun Tong,6175
54s,2003179,"Lee On Lane, near Shun Lee Disciplined Services Quarters","(22.331712, 114.2217)","Lee On Lane, near Society of Boy's Centre Shing Tak Centre School","(22.331712, 114.2217)",7.8,17,Kwun Tong,Kwun Tong,10138
482,2003207,"Tam Kon Po Street, outside Sha Tin Town Hall","(22.3819, 114.190197)",Tsuen Wan Market Street,"(22.371667, 114.116986)",16.9,24,Sha Tin,Tsuen Wan,15220
481,2003209,Shan Mei Street Bus Terminus,"(22.396439, 114.194277)",Tsuen Wan Market Street,"(22.371667, 114.116986)",12.3,19,Sha Tin,Tsuen Wan,11364
481a,2003211,Tsuen Wan Market Street,"(22.371667, 114.116986)",Sha Tin Central (Tam Kon Po Street),"(22.3819, 114.190197)",12.3,17,Tsuen Wan,Sha Tin,10700
481x,2003212,Fo Tan (Chun Yeung Estate),"(22.399139, 114.191005)",Tsuen Wan Market Street,"(22.371667, 114.116986)",12.3,18,Sha Tin,Tsuen Wan,12381
481b,2003214,Tsuen Wan Market Street,"(22.371667, 114.116986)",Tung Lo Wan Hill Road,"(22.381007, 114.180584)",12.3,20,Tsuen Wan,Sha Tin,25024
101m,2003240,Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.9,20,Sai Kung,Sai Kung,23517
101m,2003242,Wai Man Road PLB Terminus,"(22.382855, 114.274512)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.9,23,Sai Kung,Sai Kung,11656
101m,2003243,"Hiram's Highway, outside Hebe Haven Yacht Club","(22.364821, 114.259431)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.9,15,Sai Kung,Sai Kung,7623
401,2003273,Tsing Yi Ferry Pier Terminus,"(22.353765, 114.109363)",Tsing Yi Ferry Pier Terminus,"(22.353765, 114.109363)",8.2,20,Kwai Tsing,Kwai Tsing,15074
402s,2003306,"Liu To Road, Cheung Hang Estate Bus Terminus","(22.355485, 114.097498)","Chung On Street, near KOLOUR I","(22.370918, 114.117588)",9.9,22,Kwai Tsing,Tsuen Wan,14874
401,2003307,Cheung On Bus Terminus,"(22.361511, 114.102844)",Shek Yam Bus Terminus,"(22.370355, 114.139095)",8.2,12,Kwai Tsing,Kwai Tsing,3971
77m,2003339,Kowloon Station GMB Terminus,"(22.305014, 114.162919)",Kowloon Station GMB Terminus,"(22.305014, 114.162919)",7.6,24,Yau Tsim Mong,Yau Tsim Mong,6327
75,2003372,"Sai Chuen Road, outside Fu Wong House, Fu Cheong Estate","(22.329233, 114.154976)","Sai Chuen Road, outside Fu Wong House, Fu Cheong Estate","(22.329233, 114.154976)",5.2,22,Sham Shui Po,Sham Shui Po,6516
75a,2003373,Fu Cheong Estate,"(22.329233, 114.154976)",Fu Cheong Estate,"(22.329233, 114.154976)",3.6,8,Sham Shui Po,Sham Shui Po,2002
63,2003405,South Horizons Bus Terminus,"(22.24271, 114.149247)","Queen Mary Hospital, outside Block K","(22.270917, 114.131029)",7.6,15,Southern District,Southern District,17954
63a,2003408,"Nam Ning Street, outside Hoi Wun Court","(22.248951, 114.154387)","Nam Ning Street, outside Hoi Wun Court","(22.248951, 114.154387)",4.8,12,Southern District,Southern District,4686
78,2003438,Tai Kok Tsui (Island Harbourview) Public Transport Interchange,"(22.318541, 114.158812)",Tai Kok Tsui (Island Harbourview) Public Transport Interchange,"(22.318541, 114.158812)",8.3,40,Yau Tsim Mong,Yau Tsim Mong,12025
78a,2003471,Tai Kok Tsui (Island Harbourview) Public Transport Interchange,"(22.318541, 114.158812)",Peking Road outside Mary Building,"(22.296336, 114.171498)",8.3,19,Yau Tsim Mong,Yau Tsim Mong,4006
30,2003472,Lan Fong Road No. 2-16 Terminus,"(22.278473, 114.184026)",Lan Fong Road No. 2-16 Terminus,"(22.278473, 114.184026)",5.1,7,Wan Chai,Wan Chai,5514
37a,2003504,Wong Tai Sin Public Light Bus (Scheduled) Service Terminus,"(22.342969, 114.195183)",Tsz Wan Shan (North) Bus Terminus,"(22.350879, 114.19831)",4.7,7,Wong Tai Sin,Wong Tai Sin,2661
37m,2003505,Wong Tai Sin Public Light Bus (Scheduled) Service Terminus,"(22.342969, 114.195183)",Wong Tai Sin Public Light Bus (Scheduled) Service Terminus,"(22.342969, 114.195183)",4.7,11,Wong Tai Sin,Wong Tai Sin,2842
5m,2003537,"Hok Yu Lane, outside Happy Court","(22.319825, 114.177699)","Hok Yu Lane, outside Happy Court","(22.319825, 114.177699)",5.6,7,Kowloon City,Kowloon City,2592
5m,2003538,"Hok Yu Lane, outside Happy Court","(22.319825, 114.177699)","Hok Yu Lane, outside Happy Court","(22.319825, 114.177699)",5.6,6,Kowloon City,Kowloon City,2951
5m,2003570,"Hok Yu Lane, outside Happy Court","(22.319825, 114.177699)","Hok Yu Lane, outside Happy Court","(22.319825, 114.177699)",5.6,8,Kowloon City,Kowloon City,3152
13,2003571,"Broadcast Drive, outside Jumbo Court","(22.34269, 114.18167)","Broadcast Drive, outside Jumbo Court","(22.34269, 114.18167)",8.8,22,Kowloon City,Kowloon City,14709
13m,2003603,Hung Hom (Hung Luen Road) GMB Terminus,"(22.301655, 114.188685)",Hung Hom (Hung Luen Road) GMB Terminus,"(22.301655, 114.188685)",5.2,9,Kowloon City,Kowloon City,3068
13a,2003604,"Broadcast Drive, outside Jumbo Court","(22.34269, 114.18167)",Wang Tau Hom South Road outside Wang Shun House,"(22.338599, 114.186611)",4.8,5,Kowloon City,Wong Tai Sin,2842
13a,2003606,'Lok Fu MTR Station Minibus Terminus ,"(22.337641, 114.188164)","Broadcast Drive, outside Jumbo Court","(22.34269, 114.18167)",4.8,5,Wong Tai Sin,Kowloon City,1916
54,2003636,Central Ferry Piers,"(22.286717, 114.160135)",Central Ferry Piers,"(22.286717, 114.160135)",8.8,42,Central and Western,Central and Western,17983
54,2003637,Central Ferry Piers,"(22.286717, 114.160135)",Central Ferry Piers,"(22.286717, 114.160135)",8.8,42,Central and Western,Central and Western,17984
60k,2003669,Shatin Station,"(22.383318, 114.187653)",Fo Tan Cottage Area,"(22.400259, 114.188567)",6.1,11,Sha Tin,Sha Tin,11946
60p,2003671,Shatin Station,"(22.383155, 114.187585)",Fo Tan Chun Yeung Estate Public Transport Lay-bys,"(22.399121, 114.190228)",6.1,5,Sha Tin,Sha Tin,7675
60r,2003673,Shatin Station,"(22.383155, 114.187585)",Sha Tin Racecourse (Penfold Park),"(22.39902, 114.203523)",6.1,6,Sha Tin,Sha Tin,2860
61m,2003675,"Lung Pak Street, outside Cypress Court, Worldwide Garden","(22.364038, 114.17937)",Kowloon Tong (Suffolk Road) Public Transport Interchange,"(22.336441, 114.176777)",10.5,10,Sha Tin,Kowloon City,5300
61m,2003677,"Lung Pak Street, outside Cypress Court, Worldwide Garden","(22.364038, 114.17937)",Tai Wai Station Public Transport Interchange,"(22.372789, 114.179302)",5.0,4,Sha Tin,Sha Tin,1000
62k,2003679,Shatin Station,"(22.383155, 114.187585)","Lok Fung Path, outside Mountainbille Court","(22.401767, 114.196783)",6.1,10,Sha Tin,Sha Tin,10891
61s,2003681,Bus lay-by at Lok Shun Path outside Royal Ascot,"(22.400384, 114.201221)",Bus lay-by at Lok Shun Path outside Royal Ascot,"(22.39921, 114.200444)",18.8,29,Sha Tin,Sha Tin,15193
61s,2003683,"Tak Hau Street, outside Tak Wo House, Wo Che Estate","(22.387381, 114.194888)","Tak Hau Street, outside Tak Wo House, Wo Che Estate","(22.387381, 114.194888)",15.3,25,Sha Tin,Sha Tin,12085
54m,2003685,Kennedy Town Station,"(22.281356, 114.12893)",Kennedy Town Station,"(22.281356, 114.12893)",6.6,8,Central and Western,Central and Western,349
78,2003702,Lok Ma Chau (San Tin) Public Transport Interchange,"(22.502583, 114.081962)",Lok Ma Chau (San Tin) Public Transport Interchange,"(22.502583, 114.081962)",9.7,31,Yuen Long,Yuen Long,28846
78a,2003704,Kam Sheung Road Station Public Transport Interchange,"(22.434636, 114.064911)","Pat Heung Road, (near Tai Lam Bus-Bus Interchange) Minibus Terminus","(22.420466, 114.062592)",6.7,8,Yuen Long,Tuen Mun,5000
54s,2003735,Mount Davis Road opposite Greenery Garden,"(22.274998, 114.128719)",Kennedy Town Station,"(22.281356, 114.12893)",6.5,6,Southern District,Central and Western,349
54s,2003768,Kennedy Town Station,"(22.281356, 114.12893)",Queen Mary Hospital,"(22.270466, 114.130991)",6.5,10,Central and Western,Southern District,2712
55,2003771,Queen Mary Hospital,"(22.270673, 114.130651)",Queen Mary Hospital,"(22.270673, 114.130651)",8.5,29,Southern District,Southern District,8862
102,2003801,Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.8,20,Sai Kung,Sai Kung,24965
102,2003834,"HONG KEUNG STREET, near Hong Keung House","(22.334751, 114.197327)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",10.8,19,Wong Tai Sin,Sai Kung,10918
102b,2003835,"NGAN O ROAD, near Hei Ming House, YUK MING COURT","(22.31458, 114.266719)","NGAN O ROAD, near Hei Ming House, YUK MING COURT","(22.31458, 114.266719)",10.8,28,Sai Kung,Sai Kung,24547
111,2003867,Po Lam Public Transport Interchange,"(22.323398, 114.257931)",Po Lam Public Transport Interchange,"(22.323398, 114.257931)",10.8,35,Sai Kung,Sai Kung,45282
102s,2003900,Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)",12.9,20,Sai Kung,Sai Kung,23979
48m,2003902,"Lee Chung Street, near Wah Ha Estate","(22.265106, 114.236407)","Pamela Youde Nethersole Eastern Hospital, outside Main Block","(22.269134, 114.236845)",4.0,6,Eastern,Eastern,3541
60k,2003903,Shatin Station,"(22.383155, 114.187585)",Wong Chuk Yeung Village,"(22.39793, 114.177826)",8.4,13,Sha Tin,Sha Tin,12476
