routeNameE,routeId,first_stopNameE,first_coordinates,last_stopNameE,last_coordinates,fullFare,journeyTime,first_stopDistrict,last_stopDistrict,routeDistance
27ms,2001001,"Fife Street, outside Yau Shing Building","(22.320484, 114.170226)","Fife Street, outside Yau Shing Building","(22.320484, 114.170226)",5.8,18,Yau Tsim Mong,Yau Tsim Mong,5683
27ms,2001002,"Fife Street, outside Yau Shing Building","(22.320484, 114.170226)","Fife Street, outside Yau Shing Building","(22.320484, 114.170226)",5.8,20,Yau Tsim Mong,Yau Tsim Mong,5620
28m,2001003,"Wai King Street, outside Block A, Wei Chien Court","(22.317241, 114.19221)",Fife Street near Sai Yeung Choi Street South,"(22.320438, 114.169935)",8.8,14,Kowloon City,Yau Tsim Mong,7194
22s,2001004,Central (Central Ferry Piers),"(22.286717, 114.160135)","Chi Fu Road, outside block no. 14","(22.25833, 114.13699)",9.2,22,Central and Western,Southern District,10051
28ms,2001005,"Wai King Street, outside Block A, Wei Chien Court","(22.317241, 114.19221)","Wai King Street, outside Block A, Wei Chien Court","(22.317241, 114.19221)",5.8,27,Kowloon City,Kowloon City,8302
29a,2001006,"Suffolk Road, Kowloon Tong Public Transport Interchange","(22.336441, 114.176777)","Suffolk Road, Kowloon Tong Public Transport Interchange","(22.336441, 114.176777)",5.7,13,Kowloon City,Kowloon City,3257
29b,2001007,"Suffolk Road, Kowloon Tong Public Transport Interchange","(22.336441, 114.176777)","Suffolk Road, Kowloon Tong Public Transport Interchange","(22.336441, 114.176777)",5.7,10,Kowloon City,Kowloon City,2648
33a,2001008,"Fung Shing Street, outside Hill Top Gardens","(22.341955, 114.211229)",Diamond Hill Station Public Transport Interchange,"(22.34053, 114.202259)",4.8,7,Wong Tai Sin,Wong Tai Sin,4685
33m,2001010,"Fung Shing Street, outside Hill Top Gardens","(22.341955, 114.211229)","Ching Tak Street, outside Lung Hing House, Lower Wong Tai Sin Estate","(22.34073, 114.19293)",4.8,9,Wong Tai Sin,Wong Tai Sin,5863
42,2001012,"Tsing Chuen Wai Road, Tsing Chuen Wai","(22.423413, 113.981008)","Tsing Chuen Wai Road, Tsing Chuen Wai","(22.423413, 113.981008)",5.4,35,Tuen Mun,Tuen Mun,10113
55k,2001013,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",Sha Tau Kok Public Transport Interchange,"(22.545552, 114.223597)",11.5,24,North District,North District,24739
55k,2001015,Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",Wo Mun Street Public Light Bus Terminus,"(22.500287, 114.144201)",11.5,7,North District,North District,5049
55k,2001019,Sha Tau Kok Public Transport Interchange,"(22.545552, 114.223597)",Sheung Shui Station Public Light Bus Terminus,"(22.502043, 114.127785)",11.5,24,North District,North District,10588
56a,2001020,"Fanling Station Road, outside Fanling Station","(22.491553, 114.139596)",Wo Mun Street Public Light Bus Terminus,"(22.500287, 114.144201)",3.9,7,North District,North District,2504
56b,2001023,Public Light Bus (Scheduled) Service Terminus at Fanling Station,"(22.492971, 114.138508)",Public Light Bus (Scheduled) Service Terminus at Fanling Station,"(22.492971, 114.138508)",9.9,19,North District,North District,10627
56c,2001025,Public Light Bus (Scheduled) Service Terminus at Fanling Station,"(22.493034, 114.138576)",Public Light Bus (Scheduled) Service Terminus at Fanling Station,"(22.493034, 114.138576)",6.7,12,North District,North District,5095
56k,2001027,Public Light Bus (Scheduled) Service Terminus at Fanling Station,"(22.493043, 114.138391)",Fanling Station Public Light Bus (Scheduled) Service Terminus,"(22.493034, 114.138576)",10.5,24,North District,North District,23123
56k,2001029,"Sha Tau Kok Road, Man Uk Pin","(22.524419, 114.188325)",Public Light Bus (Scheduled) Service Terminus at Fanling Station,"(22.493043, 114.138391)",8.2,14,North District,North District,6793
89a,2001031,"On Yan Street, near Hang Tai House","(22.326553, 114.229202)","On Yan Street, near Hang Tai House","(22.326553, 114.229202)",6.1,20,Kwun Tong,Kwun Tong,9495
89c,2001033,On Chui Street GMB Terminus,"(22.32107, 114.234121)",On Chui Street GMB Terminus,"(22.32107, 114.234121)",6.1,13,Kwun Tong,Kwun Tong,8328
89c,2001035,On Chui Street GMB Terminus,"(22.32107, 114.234121)",Ngau Tau Kok Bus Terminus,"(22.322962, 114.216767)",6.1,10,Kwun Tong,Kwun Tong,6368
501a,2001038,Yung Shing Court,"(22.48273, 114.138404)",Yung Shing Court,"(22.48273, 114.138404)",5.4,22,North District,North District,7523
501k,2001063,"Wai Ming Street, opposite Flora Plaza","(22.48618, 114.140608)","Wai Ming Street, opposite Flora Plaza","(22.48618, 114.140608)",5.4,27,North District,North District,9116
501c,2001095,Yung Shing Court,"(22.48273, 114.138404)",Yung Shing Court,"(22.48273, 114.138404)",5.4,31,North District,North District,9636
501s,2001128,"San Fung Avenue, near Shek Wu Hui Post Office","(22.50384, 114.126687)","SAN FUNG AVENUE, near Shek Wu Hui Post Office","(22.503822, 114.126813)",27.0,75,North District,North District,73039
56,2001129,"Robinson Road, opposite Serene Court","(22.282723, 114.143145)","Marble Road, outside Wah Lai Mansion","(22.292026, 114.201717)",11.0,26,Central and Western,Eastern,21151
56a,2001130,"Robinson Road, opposite Serene Court","(22.282723, 114.143145)",Tin Hau Station Bus Terminus,"(22.282672, 114.191459)",11.0,24,Central and Western,Wan Chai,14278
56a,2001131,"Robinson Road, opposite Serene Court","(22.282723, 114.143145)",Pennington Street outside Lee Gardens Two,"(22.278536, 114.185995)",11.0,22,Central and Western,Wan Chai,5576
56b,2001132,"Robinson Road, opposite Serene Court","(22.282723, 114.143145)",Tin Hau Station Bus Terminus,"(22.282672, 114.191459)",11.0,22,Central and Western,Wan Chai,15213
56b,2001133,"Robinson Road, opposite Serene Court","(22.282723, 114.143145)","Robinson Road, opposite Serene Court","(22.282723, 114.143145)",11.0,23,Central and Western,Central and Western,8467
610s,2001161,Tin Shui Commercial Complex,"(22.455121, 113.99885)","Haiphong Road, Junction With Lock Road","(22.298205, 114.171488)",24.0,78,Yuen Long,Yau Tsim Mong,74044
608,2001194,Wang Toi Shan Playground,"(22.441445, 114.095506)",Wang Toi Shan Playground,"(22.441445, 114.095506)",7.3,41,Yuen Long,Yuen Long,18196
608,2001195,Wang Toi Shan Playground,"(22.441445, 114.095506)",Wang Toi Shan Playground,"(22.441445, 114.095506)",6.1,19,Yuen Long,Yuen Long,6467
609,2001196,Yuen Long Stadium,"(22.443198, 114.021976)",Yuen Long Stadium,"(22.443198, 114.021976)",5.1,16,Yuen Long,Yuen Long,6393
609b,2001197,Long Shin Estate,"(22.442125, 114.044757)",Long Shin Estate,"(22.442125, 114.044757)",5.1,10,Yuen Long,Yuen Long,3940
609b,2001200,Long Shin Estate,"(22.442125, 114.044757)",Long Shin Estate,"(22.442125, 114.044757)",5.1,9,Yuen Long,Yuen Long,3935
308m,2001201,Tsing Yi Station,"(22.359471, 114.106243)",Tsing Yi Station,"(22.359471, 114.106243)",9.6,28,Kwai Tsing,Kwai Tsing,20590
308m,2001204,Tsing Yi Station,"(22.359471, 114.106243)",Tsing Yi Station,"(22.359471, 114.106243)",9.6,34,Kwai Tsing,Kwai Tsing,20590
308a,2001206,Bellagio,"(22.367239, 114.06146)",Tsing Yi Station,"(22.359471, 114.106243)",9.6,14,Tsuen Wan,Kwai Tsing,10203
609s,2001208,Long Shin Estate,"(22.442125, 114.044757)",Long Shin Estate,"(22.442125, 114.044757)",5.1,9,Yuen Long,Yuen Long,4845
609s,2001209,Long Shin Estate,"(22.442125, 114.044757)","Castle Peak Road, Yau San Street","(22.444335, 114.031223)",5.1,10,Yuen Long,Yuen Long,6466
807k,2001227,University Station Bus Terminus,"(22.412727, 114.2108)",Tseng Tau Tsuen,"(22.426928, 114.268647)",9.3,21,Sha Tin,Sha Tin,17663
807k,2001228,Tseng Tau Tsuen,"(22.426928, 114.268647)",Wu Kai Sha Station Bus Terminus,"(22.428502, 114.244179)",9.3,6,Sha Tin,Sha Tin,2615
807k,2001229,"Sai Sha Road, outside Bayshore Towers","(22.425021, 114.231502)",Tseng Tau Tsuen,"(22.426928, 114.268647)",9.3,12,Sha Tin,Sha Tin,9022
807a,2001230,University Station Bus Terminus,"(22.412727, 114.2108)","Sai Sha Road, outside Bayshore Towers","(22.425021, 114.231502)",5.6,9,Sha Tin,Sha Tin,6335
807b,2001231,Bayshore Towers Public Transport Interchange,"(22.425536, 114.231337)",Bayshore Towers Bus Terminus,"(22.425536, 114.231337)",7.9,29,Sha Tin,Sha Tin,18089
807c,2001232,Bayshore Towers Bus Terminus,"(22.425536, 114.231337)",University Station Bus Terminus,"(22.412727, 114.2108)",5.6,9,Sha Tin,Sha Tin,5934
807x,2001233,University Station Bus Terminus,"(22.412727, 114.2108)",University Station Bus Terminus,"(22.412727, 114.2108)",5.7,19,Sha Tin,Sha Tin,8799
807s,2001234,University Station Bus Terminus,"(22.412727, 114.2108)",Tseng Tau Tsuen,"(22.426928, 114.268647)",9.3,14,Sha Tin,Sha Tin,19711
39c,2001260,"Yue On Court Road, Choi On House","(22.243216, 114.156542)","Yue On Court Road, Choi On House","(22.243216, 114.156542)",4.2,11,Southern District,Southern District,5581
39m,2001261,"Yue On Court Road, opposite Choi On House","(22.243216, 114.156542)",Tin Hau Station Public Transport Interchange,"(22.282672, 114.191459)",9.8,18,Southern District,Wan Chai,15013
40,2001262,Stanley Beach Road,"(22.219698, 114.213227)",Stanley Beach Road,"(22.219698, 114.213227)",12.3,29,Southern District,Southern District,28729
40,2001263,"Carmel Road, Stanley Plaza","(22.220096, 114.209463)",Jardine's Bazaar,"(22.279783, 114.184715)",12.3,23,Southern District,Wan Chai,12059
n40,2001264,Stanley Beach Road,"(22.219698, 114.213227)",Stanley Beach Road,"(22.219698, 114.213227)",16.5,31,Southern District,Southern District,31793
40x,2001265,"Tung Tau Wan Road, Stanley Prison","(22.21538, 114.217629)",Jardine's Bazaar,"(22.279783, 114.184715)",12.3,25,Southern District,Wan Chai,27051
403,2001266,Lei Pui Street Bus Terminus,"(22.362688, 114.138446)",Lei Pui Street Bus Terminus,"(22.362688, 114.138446)",12.3,46,Kwai Tsing,Kwai Tsing,24468
403p,2001267,Lei Pui Street Bus Terminus,"(22.362688, 114.138446)",Lei Pui Street Bus Terminus,"(22.362688, 114.138446)",12.3,37,Kwai Tsing,Kwai Tsing,21882
403p,2001268,Wai Kek Street outside Shek On House of Shek Lei Estate,"(22.364666, 114.13897)",Lei Pui Street Bus Terminus,"(22.362688, 114.138446)",12.3,36,Kwai Tsing,Kwai Tsing,21287
403p,2001269,No. 33 Wo Yi Hop Road,"(22.366309, 114.137241)",Lei Pui Street Bus Terminus,"(22.362688, 114.138446)",12.3,32,Kwai Tsing,Kwai Tsing,20730
403a,2001270,On Yam Estate Bus Terminus,"(22.370374, 114.141745)",On Yam Estate Bus Terminus,"(22.370374, 114.141745)",12.3,34,Kwai Tsing,Kwai Tsing,20634
403a,2001271,Lei Muk Road near Shek Yam Shopping Centre,"(22.371845, 114.138628)",On Yam Estate Bus Terminus,"(22.370374, 114.141745)",12.3,31,Kwai Tsing,Kwai Tsing,19778
403x,2001272,Tai Wai Station Bus Terminus,"(22.372789, 114.179302)",Tai Wai Station Bus Terminus,"(22.372789, 114.179302)",12.3,36,Sha Tin,Sha Tin,32945
403x,2001273,Tai Wai Station Bus Terminus,"(22.372789, 114.179302)",No. 33 Wo Yi Hop Road,"(22.366309, 114.137241)",12.3,22,Sha Tin,Kwai Tsing,17633
403x,2001274,Layby on Lei Muk Road outside Ning Fung Court,"(22.372035, 114.138551)",Tai Wai Station Bus Terminus,"(22.372789, 114.179302)",12.3,24,Kwai Tsing,Sha Tin,18252
22k,2001275,Wai Yi Street,"(22.447769, 114.165265)","Kam Shan Road, near Shek Kwu Lung","(22.448653, 114.157279)",3.9,5,Tai Po,Tai Po,12000
21k,2001276,"Tai Wo Service Road West, outside Wai Tau Tsuen","(22.463841, 114.148708)","Tai Wo Service Road West, outside Wai Tau Tsuen","(22.463841, 114.148708)",6.9,20,Tai Po,Tai Po,7454
